COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,Continent
Chile,JAN2010,January 2010,2010,1,January,Hydro,2277.808,1,21641.001,,0.4764879003081534,South America
Chile,JAN2010,January 2010,2010,1,January,Wind,21.126,2,332.001,,0.0044192852873947,South America
Chile,FEB2010,February 2010,2010,2,February,Hydro,1741.263,1,21641.001,,0.3961060985438645,South America
Chile,FEB2010,February 2010,2010,2,February,Wind,15.111,2,332.001,,0.0034374814459942,South America
Chile,MAR2010,March 2010,2010,3,March,Hydro,1580.975,1,21641.001,,0.3535800829058882,South America
Chile,MAR2010,March 2010,2010,3,March,Wind,14.935,2,332.001,,0.0033401657446825,South America
Chile,APR2010,April 2010,2010,4,April,Hydro,1740.416,1,21641.001,,0.3807497796445128,South America
Chile,APR2010,April 2010,2010,4,April,Wind,20.359,2,332.001,,0.0044539263967825,South America
Chile,MAY2010,May 2010,2010,5,May,Hydro,1839.581,1,21641.001,,0.3889400428650351,South America
Chile,MAY2010,May 2010,2010,5,May,Wind,15.092,2,332.001,,0.0031908804923072,South America
Chile,JUN2010,June 2010,2010,6,June,Hydro,1649.965,1,21641.001,,0.3373024796551182,South America
Chile,JUN2010,June 2010,2010,6,June,Wind,18.945,2,332.001,,0.0038729278966924,South America
Chile,JUL2010,July 2010,2010,7,July,Hydro,1754.004,1,21641.001,,0.3381052194922418,South America
Chile,JUL2010,July 2010,2010,7,July,Wind,24.16,2,332.001,,0.0046571285486991,South America
Chile,AUG2010,August 2010,2010,8,August,Hydro,1498.787,1,21641.001,,0.2905757299692845,South America
Chile,AUG2010,August 2010,2010,8,August,Wind,20.083,2,332.001,,0.0038935701904094,South America
Chile,SEP2010,September 2010,2010,9,September,Hydro,1705.578,1,21641.001,,0.3496322930258158,South America
Chile,SEP2010,September 2010,2010,9,September,Wind,109.861,2,332.001,,0.0225207837718997,South America
Chile,OCT2010,October 2010,2010,10,October,Hydro,1979.66,1,21641.001,,0.3966278438893194,South America
Chile,OCT2010,October 2010,2010,10,October,Wind,23.519,2,332.001,,0.0047120668500817,South America
Chile,NOV2010,November 2010,2010,11,November,Hydro,2010.61,1,21641.001,,0.4065655171632844,South America
Chile,NOV2010,November 2010,2010,11,November,Wind,25.229,2,332.001,,0.0051015569566014,South America
Chile,DEC2010,December 2010,2010,12,December,Hydro,1862.354,1,21641.001,,0.3491882541299787,South America
Chile,DEC2010,December 2010,2010,12,December,Wind,23.581,2,332.001,,0.0044213979837555,South America
Chile,JAN2011,January 2011,2011,1,January,Hydro,1896.733,1,20937.001,2277.808,0.3638760460271113,South America
Chile,JAN2011,January 2011,2011,1,January,Wind,28.383,2,338.001,21.126,0.005445096286292,South America
Chile,FEB2011,February 2011,2011,2,February,Hydro,1470.305,1,20937.001,4019.071,0.3072395488652988,South America
Chile,FEB2011,February 2011,2011,2,February,Wind,18.898,2,338.001,36.237,0.0039489854108204,South America
Chile,MAR2011,March 2011,2011,3,March,Hydro,1277.178,1,20937.001,5600.046,0.235173996216749,South America
Chile,MAR2011,March 2011,2011,3,March,Wind,29.798,2,338.001,51.172,0.0054868739825354,South America
Chile,APR2011,April 2011,2011,4,April,Hydro,1201.971,1,20937.001,7340.462,0.2378344825975951,South America
Chile,APR2011,April 2011,2011,4,April,Wind,28.51,2,338.001,71.531,0.0056412851049296,South America
Chile,MAY2011,May 2011,2011,5,May,Hydro,1227.938,1,20937.001,9180.043,0.2300245958911936,South America
Chile,MAY2011,May 2011,2011,5,May,Wind,15.68,2,338.001,86.623,0.0029372701745315,South America
Chile,JUN2011,June 2011,2011,6,June,Hydro,1255.332,1,20937.001,10830.008,0.2389574692054814,South America
Chile,JUN2011,June 2011,2011,6,June,Wind,35.85,2,338.001,105.568,0.0068241909479058,South America
Chile,JUL2011,July 2011,2011,7,July,Hydro,1614.138,1,20937.001,12584.012,0.3066109470125084,South America
Chile,JUL2011,July 2011,2011,7,July,Wind,25.181,2,338.001,129.728,0.0047832157205406,South America
Chile,AUG2011,August 2011,2011,8,August,Hydro,1960.977,1,20937.001,14082.799,0.3694389924916908,South America
Chile,AUG2011,August 2011,2011,8,August,Wind,23.802,2,338.001,149.811,0.0044841866576136,South America
Chile,SEP2011,September 2011,2011,9,September,Hydro,2015.396,1,20937.001,15788.377,0.4063428646200553,South America
Chile,SEP2011,September 2011,2011,9,September,Wind,33.026,2,338.001,259.672,0.006658681195627,South America
Chile,OCT2011,October 2011,2011,10,October,Hydro,2349.763,1,20937.001,17768.037,0.440896878454236,South America
Chile,OCT2011,October 2011,2011,10,October,Wind,39.512,2,338.001,283.191,0.0074138189517341,South America
Chile,NOV2011,November 2011,2011,11,November,Hydro,2459.934,1,20937.001,19778.647,0.4561723443103213,South America
Chile,NOV2011,November 2011,2011,11,November,Wind,36.612,2,338.001,308.42,0.0067893617755149,South America
Chile,DEC2011,December 2011,2011,12,December,Hydro,2207.336,1,20937.001,21641.001,0.3766593439446253,South America
Chile,DEC2011,December 2011,2011,12,December,Wind,22.749,2,338.001,332.001,0.0038818845048494,South America
Chile,JAN2012,January 2012,2012,1,January,Hydro,1909.02,1,19976.999,1896.733,0.3465850024854368,South America
Chile,JAN2012,January 2012,2012,1,January,Wind,27.048,2,409.0,28.383,0.0049105987088799,South America
Chile,FEB2012,February 2012,2012,2,February,Hydro,1656.485,1,19976.999,3367.038,0.3146356575365466,South America
Chile,FEB2012,February 2012,2012,2,February,Wind,37.028,2,409.0,47.281,0.0070331630695498,South America
Chile,MAR2012,March 2012,2012,3,March,Hydro,1678.313,1,19976.999,4644.216,0.2968387090384148,South America
Chile,MAR2012,March 2012,2012,3,March,Wind,29.422,2,409.0,77.079,0.0052037900542558,South America
Chile,APR2012,April 2012,2012,4,April,Hydro,1169.701,1,19976.999,5846.187,0.2174701422692656,South America
Chile,APR2012,April 2012,2012,4,April,Wind,15.325,2,409.0,105.589,0.0028492152526812,South America
Chile,MAY2012,May 2012,2012,5,May,Hydro,1153.162,1,19976.999,7074.125,0.2023264092914605,South America
Chile,MAY2012,May 2012,2012,5,May,Wind,36.314,2,409.0,121.269,0.006371421558298,South America
Chile,JUN2012,June 2012,2012,6,June,Hydro,2048.801,1,19976.999,8329.457,0.374612757415868,South America
Chile,JUN2012,June 2012,2012,6,June,Wind,36.709,2,409.0,157.119,0.0067120524208935,South America
Chile,JUL2012,July 2012,2012,7,July,Hydro,2349.024,1,19976.999,9943.595,0.4285666589492616,South America
Chile,JUL2012,July 2012,2012,7,July,Wind,42.709,2,409.0,182.3,0.007792024873762,South America
Chile,AUG2012,August 2012,2012,8,August,Hydro,1731.271,1,19976.999,11904.572,0.3101949102313537,South America
Chile,AUG2012,August 2012,2012,8,August,Wind,32.116,2,409.0,206.102,0.0057542809513878,South America
Chile,SEP2012,September 2012,2012,9,September,Hydro,1522.577,1,19976.999,13919.968,0.2967308443373171,South America
Chile,SEP2012,September 2012,2012,9,September,Wind,36.031,2,409.0,239.128,0.0070219825022431,South America
Chile,OCT2012,October 2012,2012,10,October,Hydro,1658.147,1,19976.999,16269.731,0.2973774637278287,South America
Chile,OCT2012,October 2012,2012,10,October,Wind,35.272,2,409.0,278.64,0.0063257949389336,South America
Chile,NOV2012,November 2012,2012,11,November,Hydro,1566.059,1,19976.999,18729.665,0.2855002337148853,South America
Chile,NOV2012,November 2012,2012,11,November,Wind,32.724,2,409.0,315.252,0.0059657456379905,South America
Chile,DEC2012,December 2012,2012,12,December,Hydro,1534.439,1,19976.999,20937.001,0.2734629195737552,South America
